Action,Count
actions/checkout,87
ruby/setup-ruby,2
supercharge/redis-github-action,1
supercharge/mongodb-github-action,1
codecov/codecov-action,1
actions/setup-python,3
actions/cache,100
sdkman/sdkman-action,1
github/codeql-action/init,3
github/codeql-action/autobuild,2
github/codeql-action/analyze,3
actions/setup-node,78
browser-actions/setup-chrome,1
actions/stale,1
actions/labeler,1
dorny/paths-filter,1
actions/setup-go,3
svenstaro/upload-release-action,1
docker/setup-qemu-action,1
docker/setup-buildx-action,1
docker/login-action,1
docker/metadata-action,1
docker/build-push-action,1
xt0rted/slash-command-action,1
peter-evans/create-or-update-comment,1
aws-actions/configure-aws-credentials,16
actions/upload-artifact,19
webiny/action-conventional-commits,2
actions/download-artifact,1
jumpserver/action-issues-alert,2
Yikun/hub-mirror-action,1
crate-ci/typos,1
actions-ecosystem/action-add-labels,1
goreleaser/goreleaser-action,2
softprops/action-gh-release,1
yizhoumo/setup-ossutil,1
SonarSource/sonarcloud-github-action,1
